citing,papers_omid_for_citing,cited,papers_omid_for_cited
br/061703492574,,br/061203264696,br/061203264696
br/062602663144,,br/062503231692,br/062503231692
br/062602663144,,br/061203264696,br/061203264696
br/061102666724,,br/061603368009,br/061603368009
br/062602663152,,br/062103173309,br/062103173309
br/061703492554,,br/062503170467,br/062503170467
br/061902455591,,br/061502990079,br/061502990079
br/061902455591,,br/062303370525,br/062303370525
br/061902455591,,br/061502990211,br/061502990211
br/062602663032,,br/06103645997,br/06103645997
br/061103493327,,br/06903290686,br/06903290686
br/06903582295,,br/062503139308,br/062503139308
br/06903582295,,br/061503151349,br/061503151349
br/06903506933,,br/062403233440,br/062403233440
br/061103492636,,br/06103645569,br/06103645569
br/062203476575,,br/061603367279,br/061603367279
br/06303974232,,br/06101953437,br/06101953437
br/06203969264,,br/061403129104,br/061403129104
br/06203902676,,br/061202495064,br/061202495064
br/061703549533,,br/061202495259,br/061202495259
br/061703549533,,br/062102462408,br/062102462408
br/06903575598,,br/06803303302,br/06803303302
br/06903587727,,br/0630184338,br/0630184338
br/062303525715,,br/061502990136,br/061502990136
br/06903588022,,br/061203264681,br/061203264681
br/06903588022,,br/06202110168,br/06202110168
br/06903588022,,br/06202880852,br/06202880852
br/06903588022,,br/061703385077,br/061703385077
br/062303527940,,br/06201938880,br/06201938880
br/062403536188,,br/06303564660,br/06303564660
br/062403536188,,br/061502990234,br/061502990234
br/062103472050,,br/062102462311,br/062102462311
br/06103965308,,br/0630183551,br/0630183551
br/06903551149,,br/06202881039,br/06202881039
br/06603960366,,br/062203219690,br/062203219690
br/061203478802,,br/061403129528,br/061403129528
br/06803938675,,br/061403129055,br/061403129055
br/06103986929,,br/06902915737,br/06902915737
br/06103986929,,br/06603312064,br/06603312064
br/06103986929,,br/06201938602,br/06201938602
br/06103986929,,br/061502990338,br/061502990338
br/06103986929,,br/062202938361,br/062202938361
br/061603558360,,br/061403129528,br/061403129528
br/06803938676,,br/062503170270,br/062503170270
br/061403544772,,br/062503231012,br/062503231012
br/062503467441,,br/06803302813,br/06803302813
br/061703491173,,br/061403129105,br/061403129105
br/061203479188,,br/06101953193,br/06101953193
br/06803942251,,br/06303564479,br/06303564479
br/061303524369,,br/06802910329,br/06802910329
br/062403537131,,br/0630184077,br/0630184077
br/06903562617,,br/061503393184,br/061503393184
br/06903562617,,br/062202938484,br/062202938484
br/06303905530,,br/06202880502,br/06202880502
br/06303905530,,br/06202880177,br/06202880177
br/06303905543,,br/061402276871,br/061402276871
br/06203901948,,br/06202880513,br/06202880513
br/06203901948,,br/06102894840,br/06102894840
br/06403928815,,br/06101953125,br/06101953125
br/061703543169,,br/061502990441,br/061502990441
br/061703543169,,br/062102462345,br/062102462345
br/061303551106,,br/062503138817,br/062503138817
br/06503958976,,br/06803302903,br/06803302903
br/06503958976,,br/0630183572,br/0630183572
br/06203901940,,br/061402276871,br/061402276871
br/06203901932,,br/061503151347,br/061503151347
br/06203901932,,br/06101953614,br/06101953614
br/06203901932,,br/06103645988,br/06103645988
br/061303498460,,br/061403129111,br/061403129111
br/06603948843,,br/06902915621,br/06902915621
br/06103954300,,br/06202880286,br/06202880286
br/061903539381,,br/06603312083,br/06603312083
br/061903539381,,br/06803303336,br/06803303336
br/061903539381,,br/061403326647,br/061403326647
br/06203901923,,br/062503138934,br/062503138934
br/062303525035,,br/061503348232,br/061503348232
br/06703924760,,br/061202494933,br/061202494933
br/061803503203,,br/061702498547,br/061702498547
br/06203901920,,br/061403129037,br/061403129037
br/062203512641,,br/061503151283,br/061503151283
br/062203512641,,br/062503170865,br/062503170865
br/062203512641,,br/061303331306,br/061303331306
br/062403508448,,br/062102462179,br/062102462179
br/06203901901,,br/061503348249,br/061503348249
br/06203901901,,br/061403372166,br/061403372166
br/06203901901,,br/06803797836,br/06803797836
br/06203901917,,br/06202110290,br/06202110290
br/06203901911,,br/062503231133,br/062503231133
br/061903520791,,br/06303564745,br/06303564745
br/06103986948,,br/06201938608,br/06201938608
br/061903471598,,br/06603794991,br/06603794991
br/06603887893,,br/0630184091,br/0630184091
br/062103437186,,br/06603794991,br/06603794991
br/062403432558,,br/062503138918,br/062503138918
br/061503447143,,br/06201938556,br/06201938556
br/061503447143,,br/06103646256,br/06103646256
br/06703872409,,br/06101953429,br/06101953429
br/06703872409,,br/06902915564,br/06902915564
br/06703872199,,br/06803302715,br/06803302715
br/06603888116,,br/06202880517,br/06202880517
br/06603887953,,br/06302116258,br/06302116258
br/06803880188,,br/06903290472,br/06903290472
br/06803880194,,br/061703385291,br/061703385291
br/06803880191,,br/06902916044,br/06902916044
br/06803880180,,br/06202880888,br/06202880888
br/06803880180,,br/06902522052,br/06902522052
br/06803880180,,br/06101953190,br/06101953190
br/06803880177,,br/06103645539,br/06103645539
br/06803880182,,br/062603169421,br/062603169421
br/06803880182,,br/06303564727,br/06303564727
br/06803880181,,br/062203219850,br/062203219850
br/06803880148,,br/062503170268,br/062503170268
br/06803880148,,br/062503170812,br/062503170812
br/06803880148,,br/06202880753,br/06202880753
br/06803880148,,br/06202880729,br/06202880729
br/06803880148,,br/062503138539,br/062503138539
br/06803880149,,br/06303564067,br/06303564067
br/06803880149,,br/061503348188,br/061503348188
br/06803880151,,br/06902522034,br/06902522034
br/06803880151,,br/062503231529,br/062503231529
br/06803880151,,br/061502990371,br/061502990371
br/06803880151,,br/062503139212,br/062503139212
br/06803880151,,br/06103646256,br/06103646256
br/06803880151,,br/062102462160,br/062102462160
br/06403859608,,br/062503139435,br/062503139435
br/061203461575,,br/06802909928,br/06802909928
br/06803880117,,br/061702498590,br/061702498590
br/06803880123,,br/061202495070,br/061202495070
br/06803880123,,br/061502990375,br/061502990375
br/06803880123,,br/06902522034,br/06902522034
br/06803880123,,br/062203219850,br/062203219850
br/06803880123,,br/061403128928,br/061403128928
br/06803880123,,br/061503151347,br/061503151347
br/06803880123,,br/06803302694,br/06803302694
br/06803880123,,br/06101953614,br/06101953614
br/06803880123,,br/062503138825,br/062503138825
br/06803880123,,br/06103645988,br/06103645988
br/06803880120,,br/062102462326,br/062102462326
br/06803880118,,br/061502990322,br/061502990322
br/06803880118,,br/062202938473,br/062202938473
br/06803880119,,br/062503138539,br/062503138539
br/06803880076,,br/061502990150,br/061502990150
br/06803880076,,br/062603169421,br/062603169421
br/06803880076,,br/06303564277,br/06303564277
br/06803880076,,br/061202495260,br/061202495260
br/06803880076,,br/06202880594,br/06202880594
br/06803880076,,br/06303564727,br/06303564727
br/06803860287,,br/061903537829,br/061903537829
br/06703873125,,br/062503170784,br/062503170784
br/06703873125,,br/061303331313,br/061303331313
br/06703873126,,br/06303564192,br/06303564192
br/06703873126,,br/06303564067,br/06303564067
br/06703873127,,br/062603169421,br/062603169421
br/06703873124,,br/061303135124,br/061303135124
br/06703873124,,br/062503139439,br/062503139439
br/06703873124,,br/062102462160,br/062102462160
br/06703873128,,br/06802910329,br/06802910329
br/06703873128,,br/062603169421,br/062603169421
br/06703873128,,br/06303564277,br/06303564277
br/06703873128,,br/06303564055,br/06303564055
br/06703873128,,br/06303564727,br/06303564727
br/06703873123,,br/061402276871,br/061402276871
br/06703873123,,br/06201938880,br/06201938880
br/06703873123,,br/06103645997,br/06103645997
br/061603466887,,br/062503170265,br/062503170265
br/061603466887,,br/061403129532,br/061403129532
br/061103474937,,br/061403128913,br/061403128913
br/061103474937,,br/06303564747,br/06303564747
br/06603850701,,br/0660185285,br/0660185285
br/061103472347,,br/062102462167,br/062102462167
br/061103472347,,br/0630183860,br/0630183860
br/061103472347,,br/0630184121,br/0630184121
br/061103472347,,br/0630183572,br/0630183572
br/061103472347,,br/062102462131,br/062102462131
br/062203430392,,br/061203210431,br/061203210431
br/062203430392,,br/0630184373,br/0630184373
br/062103428401,,br/06103645847,br/06103645847
br/062103428401,,br/061203264933,br/061203264933
br/06503870550,,br/061403129111,br/061403129111
br/06103890286,,br/062503170448,br/062503170448
br/061303540625,,br/06902522137,br/06902522137
br/061403425022,,br/062503139435,br/062503139435
br/061403425022,,br/062503138984,br/062503138984
br/062403448027,,br/06902522049,br/06902522049
br/06403875957,,br/06802910405,br/06802910405
br/06403875957,,br/06902522181,br/06902522181
br/06403875957,,br/061702498421,br/061702498421
br/06403875957,,br/061702498697,br/061702498697
br/06403875957,,br/061303134848,br/061303134848
br/06403875957,,br/062403233440,br/062403233440
br/06403875957,,br/061303135229,br/061303135229
br/06803888522,,br/06803303365,br/06803303365
br/06403875958,,br/062503231686,br/062503231686
br/06403875958,,br/06903290426,br/06903290426
br/06403875958,,br/062503170865,br/062503170865
br/06403875958,,br/061403128962,br/061403128962
br/06303895333,,br/062603169476,br/062603169476
br/06303895300,,br/061703385843,br/061703385843
br/06303895112,,br/061502990382,br/061502990382
br/06203856031,,br/062102462318,br/062102462318
br/06903462030,,br/0630183885,br/0630183885
br/061203458368,,br/06101953769,br/06101953769
br/062503443949,,br/062202938518,br/062202938518
br/06703830932,,br/062102462142,br/062102462142
br/06703830932,,br/06202880948,br/06202880948
br/06703849275,,br/06201938779,br/06201938779
br/061103458870,,br/062503231124,br/062503231124
br/062103427031,,br/06303564485,br/06303564485
