author_id,paper_id
357,175
500,175
53,175
501,176
358,176
359,176
502,177
503,177
504,178
505,178
63,179
60,179
65,179
207,180
301,181
506,181
507,181
508,181
509,181
281,182
169,182
510,183
511,183
363,184
365,184
364,184
56,185
512,185
513,185
514,185
515,185
516,185
517,185
518,185
519,185
520,185
521,186
522,186
523,186
524,187
525,187
526,187
527,187
528,188
529,188
530,188
531,188
532,188
409,188
533,189
534,189
535,189
536,189
537,190
538,190
539,191
183,191
186,191
187,191
540,192
541,192
542,192
188,193
87,193
543,193
544,193
545,193
88,193
546,193
111,193
110,193
547,194
548,194
549,194
550,194
551,194
532,194
552,195
553,195
554,195
468,195
555,195
556,196
557,197
558,197
559,197
560,197
561,198
562,198
563,199
564,199
565,199
566,199
567,200
568,200
569,200
570,200
571,200
572,200
425,201
573,201
574,201
575,201
576,201
577,202
578,202
579,202
70,203
71,203
73,203
580,204
581,204
582,205
583,205
584,205
585,206
586,206
587,206
588,206
589,207
13,207
590,208
248,208
591,209
592,209
593,210
594,210
595,210
596,211
597,211
241,212
598,212
599,212
600,212
601,213
602,213
603,213
469,214
212,214
214,214
604,215
605,215
606,216
15,216
607,217
608,217
609,218
610,218
611,218
534,218
262,219
612,219
613,219
614,220
615,220
616,220
617,220
618,220
109,220
521,221
449,221
522,221
435,221
619,221
620,222
621,222
622,222
623,222
624,222
445,223
625,223
156,223
626,224
627,224
628,224
60,224
629,224
630,225
631,225
92,226
632,226
633,227
634,227
635,227
234,228
552,229
636,229
449,229
310,229
555,229
637,230
255,230
638,230
639,230
640,231
363,232
365,232
364,232
424,233
641,233
642,233
643,234
442,234
432,235
644,236
265,237
645,237
646,237
647,238
648,239
649,239
650,239
651,239
652,239
653,239
654,240
655,240
656,241
156,241
657,242
658,243
159,243
659,244
660,244
195,245
661,246
662,247
663,247
664,247
665,247
666,248
524,248
442,249
667,249
668,250
259,251
261,251
354,252
53,252
259,253
348,253
475,253
347,253
458,253
68,254
669,255
415,255
670,255
671,256
672,256
673,257
674,258
90,258
675,259
676,259
451,259
521,259
677,260
678,260
679,260
680,261
681,262
223,262
682,263
131,263
130,263
683,264
684,264
685,264
686,264
687,264
688,265
224,266
13,266
689,267
690,267
250,267
281,268
209,268
14,268
691,268
692,269
693,270
694,270
695,270
467,270
597,271
696,271
697,271
445,272
606,272
698,272
699,272
700,272
625,272
701,273
630,274
702,274
703,275
704,275
705,275
262,276
706,277
13,277
707,278
708,278
709,278
285,278
625,279
424,279
477,279
710,280
711,281
712,281
713,282
714,282
715,283
600,283
599,283
716,283
241,283
598,283
717,283
718,284
278,285
57,285
187,285
264,286
719,286
720,286
721,287
117,287
677,288
14,289
281,289
722,289
723,289
724,290
14,290
725,290
187,290
597,291
726,292
727,292
728,292
729,292
730,292
731,292
732,292
733,292
734,293
735,293
736,293
737,294
738,294
739,295
740,296
741,296
590,296
742,296
248,296
743,296
744,296
745,297
746,297
747,297
748,298
261,298
749,299
750,300
751,300
752,300
753,300
754,300
755,300
756,300
757,300
758,301
222,301
759,302
760,302
230,303
761,304
449,304
762,305
448,305
625,305
145,306
763,306
764,306
765,306
431,307
766,308
524,308
767,308
768,308
769,308
770,309
771,309
245,309
772,309
773,310
774,310
775,310
776,310
439,311
777,312
778,312
779,313
780,313
781,313
358,314
782,314
783,315
784,316
785,317
786,318
787,318
788,318
789,318
