author_id,paper_id
448,222
449,222
450,223
271,223
273,223
451,224
452,224
75,224
453,225
454,225
455,225
456,225
457,226
458,226
237,226
459,227
449,227
460,227
461,228
462,228
395,228
396,228
463,229
464,229
465,229
466,229
467,230
468,230
469,230
470,230
471,230
472,230
473,231
260,231
474,231
475,231
378,232
476,232
305,232
385,233
477,234
478,234
479,235
480,235
231,236
277,236
481,236
482,237
92,237
483,238
479,238
480,238
484,239
485,239
486,239
487,240
488,240
145,241
489,241
490,241
161,241
491,241
492,242
493,243
494,243
495,243
496,244
300,244
497,245
177,245
178,245
498,245
477,246
499,246
92,247
500,247
501,248
75,248
502,248
477,249
499,249
503,250
504,250
505,250
506,250
507,250
508,251
305,251
509,252
510,252
511,252
512,252
513,252
508,253
305,253
514,254
158,254
501,255
75,255
502,255
515,256
516,256
517,256
518,256
519,256
296,257
405,257
138,257
295,257
520,258
158,258
521,258
522,259
523,259
524,259
487,260
488,260
491,261
145,261
525,261
526,261
477,262
526,262
527,263
528,263
529,264
37,264
530,264
531,265
337,265
532,266
533,266
242,267
534,268
344,268
535,269
532,269
536,269
537,269
538,270
539,270
271,270
540,270
541,270
380,271
268,271
277,271
542,271
543,271
387,272
112,272
496,273
300,273
392,273
544,274
75,274
545,274
546,275
477,275
499,275
547,276
548,276
549,276
105,277
186,277
184,277
406,278
550,278
551,278
552,278
75,278
553,279
554,279
37,279
555,279
556,280
344,280
557,281
138,281
295,281
558,281
559,281
560,282
561,282
562,282
293,282
563,282
564,282
186,282
565,283
566,283
567,283
568,284
569,284
570,285
571,285
572,285
573,285
334,286
574,286
335,286
575,286
544,287
568,288
569,288
576,289
75,289
577,289
545,289
578,290
579,290
37,290
161,291
580,291
242,291
525,291
204,291
581,292
582,292
344,292
430,293
54,293
432,294
583,294
584,294
585,294
586,294
587,294
588,295
589,295
590,295
188,295
591,295
477,296
105,296
184,296
499,296
592,297
593,297
594,298
595,298
300,298
596,299
307,299
273,299
597,300
598,300
599,300
541,300
600,300
601,301
602,301
603,301
604,301
605,302
191,302
606,302
277,303
607,303
608,304
362,304
327,305
609,305
300,305
535,306
532,306
610,307
268,307
611,308
271,308
268,309
380,309
612,310
344,310
556,310
613,310
614,311
615,311
563,311
560,311
186,311
616,312
549,312
617,312
618,313
619,313
204,313
620,313
621,314
622,314
277,315
482,315
432,316
525,316
242,316
623,316
534,316
161,316
305,316
624,317
625,317
626,317
627,317
75,318
628,319
629,319
630,319
631,319
632,320
453,320
456,320
556,321
633,321
344,321
634,322
362,322
406,323
635,323
636,323
536,324
532,324
535,324
385,325
637,326
119,326
638,326
639,327
640,327
641,327
642,327
138,327
480,327
643,328
644,328
645,328
646,328
350,329
647,330
648,330
649,330
650,331
525,331
651,331
76,331
652,331
543,332
392,333
653,333
654,334
453,334
655,335
534,335
344,335
277,336
268,336
380,336
656,337
75,337
657,337
380,338
268,338
658,338
659,339
477,339
660,340
661,340
662,340
663,341
664,341
665,341
589,341
590,341
578,342
204,342
666,342
667,343
668,343
669,343
670,343
671,343
672,343
673,344
557,344
674,344
138,344
675,345
676,345
677,345
678,345
679,345
680,346
301,346
92,346
681,346
682,346
683,346
684,346
685,346
686,347
687,347
688,348
327,348
608,349
689,349
362,349
690,350
691,350
692,350
693,350
694,351
372,351
695,351
696,352
697,352
698,352
612,353
699,353
613,353
344,353
563,354
